City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-1.05,82,16,4.45,GS,1695762221
1,olonkinbyen,70.9221,-8.7187,4.0,82,67,6.98,SJ,1695762220
2,adamstown,-25.066,-130.1015,20.98,70,70,7.54,PN,1695762220
3,uturoa,-16.7333,-151.4333,25.81,78,42,6.77,PF,1695762283
4,lagoa,39.05,-27.9833,20.67,73,100,9.11,PT,1695762283
5,manokwari,-0.8667,134.0833,25.86,82,100,2.08,ID,1695762283
6,kasongo-lunda,-6.4667,16.8167,24.4,84,80,1.29,CD,1695762284
7,constantia,44.1833,28.65,20.39,69,14,7.92,RO,1695762284
8,island harbour,50.724,-1.2758,17.74,92,83,0.45,GB,1695762284
9,bredasdorp,-34.5322,20.0403,12.63,79,78,0.67,ZA,1695762240
10,waitangi,-43.9535,-176.5597,13.79,97,100,4.02,NZ,1695762211
11,arys,42.4252,68.795,17.12,34,5,2.23,KZ,1695762284
12,avarua,-21.2078,-159.775,25.03,65,40,6.69,CK,1695762232
13,yellowknife,62.456,-114.3525,9.12,100,100,6.69,CA,1695762055
14,port-aux-francais,-49.35,70.2167,1.89,81,96,17.71,TF,1695762212
15,iqaluit,63.7506,-68.5145,4.85,80,100,3.09,CA,1695762237
16,constitucion,-35.3333,-72.4167,11.63,73,0,13.16,CL,1695762032
17,albany,42.6001,-73.9662,18.65,62,100,2.98,US,1695762027
18,ust-nera,64.5667,143.2,0.24,93,87,3.36,RU,1695762286
19,lihue,21.9789,-159.3672,28.77,65,0,7.72,US,1695762286
20,chonchi,-42.6128,-73.8092,9.51,85,100,3.3,CL,1695762137
21,botshabelo,-29.2702,26.7052,8.65,61,2,9.34,ZA,1695762286
22,ilulissat,69.2167,-51.1,-0.99,69,40,6.17,GL,1695762230
23,kruisfontein,-34.0033,24.7314,13.27,79,99,4.57,ZA,1695762286
24,faro,37.0194,-7.9322,22.2,83,0,2.57,PT,1695762287
25,klyuchi,52.2667,79.1667,4.86,75,4,3.38,RU,1695762207
26,hawaiian paradise park,19.5933,-154.9731,25.73,85,100,6.17,US,1695762287
27,tsiombe,-25.3,45.4833,23.49,61,71,2.11,MG,1695762287
28,saipan,15.1355,145.701,27.39,89,75,3.09,MP,1695762224
29,callao,-12.0667,-77.15,20.16,73,100,3.6,PE,1695762288
30,williams lake,52.1415,-122.1445,18.36,44,75,7.2,CA,1695762133
31,ushuaia,-54.8,-68.3,5.79,81,75,10.8,AR,1695762123
32,novobod,39.0108,70.1508,12.66,40,2,0.28,TJ,1695762288
33,iskateley,67.6803,53.1512,9.53,95,100,5.86,RU,1695762288
34,edinburgh of the seven seas,-37.0676,-12.3116,13.28,75,0,8.6,SH,1695762209
35,mont-dore,-22.2833,166.5833,22.22,99,42,3.41,NC,1695762009
36,tamanrasset,22.785,5.5228,28.95,11,0,6.17,DZ,1695762289
37,bonab,37.3404,46.0561,17.6,46,63,5.23,IR,1695762290
38,st. john's,47.5649,-52.7093,10.44,84,100,9.39,CA,1695761999
39,papatowai,-46.5619,169.4708,7.73,86,99,2.78,NZ,1695762228
40,krasnoshchekovo,51.6708,82.7289,1.33,74,0,1.1,RU,1695762290
41,isafjordur,66.0755,-23.124,4.97,97,100,15.07,IS,1695762235
42,cabinda,-5.55,12.2,25.08,83,75,1.54,AO,1695762291
43,greymouth,-42.4667,171.2,8.21,71,100,2.53,NZ,1695762291
44,namibe,-15.1961,12.1522,18.44,86,83,0.92,AO,1695762291
45,lata,40.1629,-8.3327,18.84,78,58,0.72,PT,1695762292
46,keflavik,64.0049,-22.5624,11.95,66,75,8.75,IS,1695762292
47,port mathurin,-19.6833,63.4167,22.79,66,1,9.47,MU,1695762232
48,thongwa,16.7619,96.5278,26.09,95,100,2.62,MM,1695762292
49,brisas de zicatela,15.8369,-97.0419,31.29,51,20,1.54,MX,1695762292
50,vorgashor,67.5833,63.95,1.76,82,96,2.25,RU,1695762293
51,blackmans bay,-43.0167,147.3167,5.85,92,52,1.45,AU,1695762208
52,puerto ayora,-0.7393,-90.3518,29.98,88,72,4.02,EC,1695762223
53,capitao poco,-1.7464,-47.0594,31.59,47,71,4.37,BR,1695762293
54,bethel,41.3712,-73.414,17.55,71,96,0.89,US,1695762151
55,lavrio,37.7145,24.0565,25.77,74,4,2.24,GR,1695762294
56,pangai,-19.8,-174.35,26.06,69,20,4.63,TO,1695762294
57,ola,59.5833,151.2833,4.74,71,85,2.84,RU,1695762294
58,west island,-12.1568,96.8225,25.99,83,100,4.12,CC,1695762236
59,puerto natales,-51.7236,-72.4875,10.25,57,100,6.17,CL,1695762214
60,basiawan,6.5342,125.4869,24.69,86,42,4.33,PH,1695762295
61,behompy,-23.2496,43.8557,21.04,95,58,1.27,MG,1695762295
62,cidreira,-30.1811,-50.2056,18.12,97,100,6.76,BR,1695762160
63,mana,5.6592,-53.7767,28.74,76,83,4.87,GF,1695762295
64,necochea,-38.5473,-58.7368,8.7,90,100,4.92,AR,1695762296
65,saint-joseph,-21.3667,55.6167,19.21,75,10,4.62,RE,1695762296
66,dudinka,69.4058,86.1778,1.46,98,100,6.51,RU,1695762217
67,longyearbyen,78.2186,15.6401,-7.09,79,20,1.03,SJ,1695762213
68,carnarvon,-24.8667,113.6333,21.7,43,0,3.16,AU,1695762231
69,vila franca do campo,37.7167,-25.4333,23.82,99,96,6.39,PT,1695762243
70,lerwick,60.1545,-1.1494,13.0,89,90,4.53,GB,1695762200
71,utrik,11.2278,169.8474,28.46,77,100,7.05,MH,1695762297
72,talnakh,69.4865,88.3972,1.23,98,100,3.92,RU,1695762297
73,jamestown,42.097,-79.2353,16.97,75,100,3.6,US,1695762137
74,lorengau,-2.0226,147.2712,24.3,95,100,0.63,PG,1695762298
75,mandalgovi,45.7625,106.2708,1.78,41,0,4.15,MN,1695762298
76,thompson,55.7435,-97.8558,22.09,53,40,3.6,CA,1695762045
77,atafu village,-8.5421,-172.5159,28.19,72,42,2.64,TK,1695762215
78,punta arenas,-53.15,-70.9167,8.01,68,75,6.17,CL,1695762018
79,kassala,15.451,36.4,27.55,52,100,3.77,SD,1695762298
80,kharp,66.8014,65.8081,5.19,94,100,0.57,RU,1695762299
81,hermanus,-34.4187,19.2345,12.84,80,0,4.6,ZA,1695762299
82,prejmer,45.7167,25.7667,16.44,78,2,0.76,RO,1695762299
83,isla vista,34.4133,-119.861,33.89,52,0,4.12,US,1695762299
